_id,options[0],options[1],options[2],options[3],category,question,answer,__v
66a52bab397abc57d02c5e77,Hardware,Software,Linguagem,Design,Processo de Software,Um processo de software é um conjunto de atividades relacionadas que levam à produção de um produto de:,Software,0
66a5414398ac1c5a28a56ef6,especificação de software,projeto e implementação de software,validação de software,evolução de software,Processo de Software,"A funcionalidade do software e as restrições a seu funcionamento devem ser definidos, este é o papel fundamental da(o): ",especificação de software,0
66a550b3a382c152ac92b449,Para produzir softwares complexos,Para produzir softwares de longo prazo,Para produzir softwares úteis rapidamente,Para produzir softwares em grandes volumes,Desenvolvimento Ágil,Como os processos de desenvolvimento ágeis de software são concebidos?,Para produzir softwares úteis rapidamente,0
66a5608c27fd1b5fd8cf4171,Minimizar o envolvimento dos stakeholders,Adotar uma abordagem iterativa e incremental,Eliminar a fase de teste,Acelerar o processo de codificação,Processo de Software,Qual é o objetivo fundamental do RUP no desenvolvimento de software?,Adotar uma abordagem iterativa e incremental,0
66a560c927fd1b5fd8cf4174,"Análise, Design, Implementação e Teste","Concepção, Elaboração, Construção e Transição.","Planejamento, Execução, Monitoramento e Controle","Concepção, Desenvolvimento, Implementação e Manutenção",Processo de Software,Quais são as fases principais do RUP?,"Concepção, Elaboração, Construção e Transição.",0
66a5614227fd1b5fd8cf4178,Recursos Unificados de Programação,Rational Unified Project,Rational Unified Process,Processo Unificado Racional,Processo de Software,O que significa a sigla RUP?,Rational Unified Process,0
66a5622a27fd1b5fd8cf417d,Integração de componentes para criar um sistema completo.,Teste dos componentes pelos desenvolvedores.,Teste com dados fornecidos pelo cliente.,Simulação de dados.,Processo de Software,Qual é a ênfase do Teste de Aceitação no processo de desenvolvimento de software?,Teste com dados fornecidos pelo cliente.,0
66a5635a27fd1b5fd8cf4189,Integração de componentes para criar um sistema completo.,Teste dos componentes pelos desenvolvedores.,Teste com dados fornecidos pelo cliente.,Simulação de dados.,Processo de Software,Qual é a característica principal do Teste de Desenvolvimento no processo de desenvolvimento de software?,Teste dos componentes pelos desenvolvedores.,0
66a5642127fd1b5fd8cf418c,Garantir que o software atenda apenas às suas especificações.,"Mostrar que o software se adequa às especificações, mas não necessariamente satisfaz as especificações do cliente.",Garantir que o software se adeque às suas especificações e satisfaça as especificações do cliente.,Demonstrar que as especificações do cliente são irrelevantes para o software.,Processo de Software,Qual é o propósito da validação de software?,Garantir que o software se adeque às suas especificações e satisfaça as especificações do cliente.,0
66a5643b27fd1b5fd8cf418e,Projetar o funcionamento de cada componente do sistema,Identificar a estrutura geral do sistema,Definir as interfaces entre os componentes do sistema,Projetar as estruturas de dados do sistema e sua representação em um banco de dados,Processo de Software,Qual é o foco do projeto de banco de dados no desenvolvimento de software?,Projetar as estruturas de dados do sistema e sua representação em um banco de dados,0
66a5668e27fd1b5fd8cf4194,especificação de software,projeto e implementação de software,validação de software,evolução de software,Processo de Software,"O software deve ser produzido para atender as especificações, este é o papel fundamental da(o):",projeto e implementação de software,0
66a566ac27fd1b5fd8cf4196,especificação de software,projeto e implementação de software,validação de software,evolução de software,Processo de Software,"O software deve ser validado para garantir que atenda às demandas do cliente, este é o papel fundamental da(o):",validação de software,0
66a566c927fd1b5fd8cf4198,especificação de software,projeto e implementação de software,validação de software,evolução de software,Processo de Software,"O software deve evoluir para atender às necessidades de mudança dos clientes, este é o papel fundamental da(o):",evolução de software,0
